Chronology Protocol independent offline verification transcript
UTC run time: 2026-08-22T05:54:51Z

$ sha256sum /mnt/data/chronology-protocol-verification-pack.zip
53e983d9bd06c8231461490b873b5ac67198844d22bf80745fb5b478dfc810da  /mnt/data/chronology-protocol-verification-pack.zip

$ sha256sum -c MANIFEST.sha256
CLAIMS.md: OK
ctp/__init__.py: OK
ctp/bitcoin_jan09.py: OK
ctp/bundle.py: OK
ctp/cbor.py: OK
ctp/genesis.py: OK
ctp/hashsuite.py: OK
ctp/interval.py: OK
ctp/merkle.py: OK
ctp/model.py: OK
ctp/p2p_v01.py: OK
ctp/pq.py: OK
ctp/radio.py: OK
ctp/renewal.py: OK
ctp/roughtime.py: OK
ctp/sandwich.py: OK
ctp/simulate.py: OK
ctp/verify.py: OK
docs/RADIO-RELAY.md: OK
docs/REALITY-SANDWICH.md: OK
INVARIANTS.md: OK
LICENSE: OK
live/anchor-evidence/ACCEPTANCE.md: OK
live/anchor-evidence/ASTRO-SANDWICH-ACCEPTANCE.md: OK
live/anchor-evidence/astrolabe-expectation.json: OK
live/anchor-evidence/finalize-height221.json: OK
live/anchor-evidence/live-template-height221.json: OK
live/anchor-evidence/mined-block-height221.hex: OK
live/anchor-evidence/orphans/orphan-epoch3-h264.hex: OK
live/anchor-evidence/ROUGHTIME-SANDWICH-ACCEPTANCE.md: OK
live/anchor-evidence/SANDWICH-ACCEPTANCE.md: OK
live/anchor-evidence/submit-height221.json: OK
live/anchor-evidence/tip-context-post-submit.json: OK
live/chain-blocks.hex: OK
live/g2b-work/photos/10308.jpg: OK
live/g2b-work/photos/10309.jpg: OK
live/g2b-work/photos/10310.jpg: OK
live/g2b-work/photos/10311.jpg: OK
live/g2b-work/photos/10312.jpg: OK
live/g2b-work/photos/10313.jpg: OK
live/g2b-work/photos/10314.jpg: OK
live/g2b-work/photos/10315.jpg: OK
live/g2b-work/photos/10316.jpg: OK
live/g2b-work/photos/10317.jpg: OK
Makefile: OK
native/mine_sha256d.c: OK
NOTICE: OK
pyproject.toml: OK
README.md: OK
README.txt: OK
RELEASE_NOTES.md: OK
scripts/assemble_g2b_bundle.py: OK
scripts/assemble_g5_bundle.py: OK
scripts/assemble_sandwich_bundle.py: OK
scripts/build_archive.py: OK
scripts/build_live_template.py: OK
scripts/build_sandwich_template.py: OK
scripts/finalize_mined_block.py: OK
scripts/fpga_host.py: OK
scripts/ots_info.py: OK
scripts/ots_stamp.py: OK
scripts/ots_upgrade.py: OK
scripts/radio_relay.py: OK
scripts/release_audit.py: OK
scripts/rolling_code.py: OK
scripts/run_g2b.py: OK
scripts/run_g5.py: OK
scripts/run_milestone1.py: OK
scripts/run_sandwich.py: OK
scripts/submit_block_v01.py: OK
scripts/verify_bundle.py: OK
scripts/verify_sandwich.py: OK
SECURITY.md: OK
SPEC.md: OK
tests/test_anchor_payload.py: OK
tests/test_bitcoin_anchor_parse.py: OK
tests/test_bitcoin_genesis.py: OK
tests/test_bundle_cbor.py: OK
tests/test_cbor.py: OK
